Company Name,Contact Person,Title,Location,Website,Identified Pain Point,Lead Score,Status,Load Time (ms),Has Chatbot
Florida Homes Realty & Mortgage,James Angelo,"Founder, CEO, Broker","Jacksonville, FL",https://www.joinfhrm.com/,Slow website load time (5410ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,63,WARM - Monitor,5410,Yes
HomeTrust Financing,Chris Cavazos,Mortgage Broker/Owner,"Sugar Land, TX",https://hometrustfinancing.com/,Moderate load time (3303ms) - could be faster for better UX; No social media links found - weak digital presence,59,WARM - Monitor,3303,Yes
Future Home Loans,Robert Lynn,CEO Founder,"Jacksonville Beach, FL",https://future.loans/,Slow website load time (5629ms) - losing impatient leads,62,WARM - Monitor,5629,Yes
Wholesale Mortgages LLC,Javier Satizabal,"Founder, CEO","Tampa, FL",https://www.findeasymortgages.com/,Slow website load time (5949ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,68,WARM - Monitor,5949,Yes
The Orlicki Group,Oliver Orlicki,"Founder, Mortgage Loan Originator","Tampa, FL",https://orlickigroup.com/,Slow website load time (7100ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,76,WARM - Monitor,7100,Yes
Pioneer Mortgage Funding,Gerald Cugno,President and Owner,Florida,https://yourkey.com/,No live chat or AI chatbot on website - missing 24/7 lead capture opportunity; No mobile optimization detected - poor experience for mobile visitors,100,HOT - Ready for Outreach,6470,No
Matador Lending,Founding Team,Mortgage Broker Owner,"Houston, TX",https://www.matadorlending.com/,Slow website load time (4392ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,81,HOT - Ready for Outreach,4392,Yes
Turn-Key Mortgage Inc.,Jennifer Brown,Mortgage Broker/Owner,"Houston, TX",https://turnkeymortgage.net/,Slow website load time (8722ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,76,WARM - Monitor,8722,Yes
Rainmaker Realty,Jeanne,"Founder, Owner","San Antonio, TX",https://www.rainmakerrealty.com/,Slow website load time (6819ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,71,WARM - Monitor,6819,Yes
Texas Premier Mortgage,Owner,Owner,"Houston, TX",https://www.txpremiermortgage.com/,No live chat or AI chatbot on website - missing 24/7 lead capture opportunity; No mobile optimization detected - poor experience for mobile visitors,100,HOT - Ready for Outreach,4097,No
First Commerce Financial,Kirk Chivas,Co-Founder,"Jacksonville, FL",https://www.firstcommercefinancial.com/,Slow website load time (18245ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,68,WARM - Monitor,18245,Yes
Realty Texas,Jack Stapleton,"Co-Founder, Broker",Texas,https://www.realtytexas.com/,Slow website load time (4893ms) - losing impatient leads; No Google Reviews displayed on website - missing trust signals,73,WARM - Monitor,4893,Yes
Networth Builders,Wale Lawal,Founder,"Houston, TX",https://networthbuilders.com/,Slow website load time (5765ms) - losing impatient leads; Outdated web technology: Uses javascript:void(0) links,74,WARM - Monitor,5765,Yes
Mortgage Expert,Shahram Sondi,Broker-Owner,"Orlando, FL",https://mortgageexpert.com/,No live chat or AI chatbot on website - missing 24/7 lead capture opportunity; Slow website load time (4743ms) - losing impatient leads,89,HOT - Ready for Outreach,4743,No
SI Real Estate Investments,Nibal Elsaadi,Broker Associate,"Tampa, FL",https://www.sirealestateinvestments.com/,No live chat or AI chatbot on website - missing 24/7 lead capture opportunity; Slow website load time (7739ms) - losing impatient leads,87,HOT - Ready for Outreach,7739,No
